D_L       Reff_arcmin   R         I
49.900      0.40      10.82      10.00
22.500      0.58      9.15       8.82
45.700      0.28      10.79      10.08
34.000      0.42      10.81      9.94
23.100      0.48      10.66      9.89
24.900      0.60      10.39      9.62
36.200      0.33      11.07      10.33
33.100      0.40      10.85      10.08
33.900      0.38      11.43      10.70
39.900      0.95      10.12      9.29
30.600      0.85      9.74       9.04
33.300      0.25      11.29      10.41
13.600      0.27      11.03      10.16
31.700      0.69      10.41      9.65
29.600      0.39      10.69      9.86
27.700      0.40      10.54      9.72
38.200      0.39      10.76      10.02
36.400      0.35      11.17      10.31
46.800      1.05      10.01      9.19
51.900      0.59      11.02      10.20
44.800      0.31      11.17      10.39
44.400      0.64      10.33      9.49
38.000      0.33      10.22      9.93
26.000      0.65      9.66       8.97
33.800      0.86      10.02      9.14
40.200      0.39      10.30      9.53
40.600      0.76      10.83      9.68
12.500      0.78      9.35       8.52
31.100      0.91      10.01      9.07
62.600      0.34      11.08      10.33
36.200      0.45      10.93      10.07
54.700      0.58      10.91      10.20
15.000      0.19      10.70      9.85
36.900      0.94      10.49      9.71
11.600      1.14      8.72       7.97
37.600      1.64      9.55       8.87
21.700      0.27      11.22      10.52
30.400      0.82      9.93       9.26
20.900      1.44      8.86       8.09
24.700      0.46      10.19      9.36
17.600      1.31      9.01       8.27
36.000      0.75      9.81       8.97
40.500      0.72      10.80      9.94
40.900      0.67      10.57      9.82
40.000      0.49      10.26      9.47
23.900      0.89      9.87       9.09
48.400      0.71      10.63      9.70
38.200      0.43      10.62      9.79
34.500      0.39      10.54      9.71
35.300      1.28      9.91       9.09
25.300      0.58      10.20      9.28
31.200      0.43      10.93      10.08
24.700      0.29      10.75      9.87
27.500      1.09      9.60       8.65
21.900      0.47      10.69      9.66
22.600      0.78      10.46      9.55
35.300      0.41      11.02      10.16
39.900      0.39      10.61      9.82
49.600      1.12      10.29      9.50
16.400      0.75      9.16       8.38
56.700      0.59      11.00      10.22
51.700      0.52      10.45      9.73
24.300      0.55      10.66      10.00
20.900      0.56      10.32      9.73
22.400      0.45      10.87      10.05
23.800      1.26      8.89       8.04
18.600      0.41      9.42       8.68
18.900      0.91      8.89       8.01
21.900      1.10      9.15       8.45
18.100      0.40      10.53      9.92
19.400      0.40      10.50      9.88
18.200      0.56      9.74       9.07
20.800      0.26      11.17      10.40
31.900      0.40      10.88      10.13
31.900      0.38      10.95      10.13
24.300      0.63      11.11      10.55
19.600      0.50      9.91       9.03
23.900      0.85      9.46       8.72
25.400      0.44      10.81      10.03
20.600      0.48      10.41      9.70
19.500      0.55      9.90       9.23
34.600      0.56      10.81      10.06
27.700      0.40      10.62      9.84
30.300      0.36      10.80      9.89
58.300      2.05      10.45      9.56
58.300      0.42      11.34      10.42
49.600      1.14      9.74       9.02
28.700      0.64      10.50      9.59
28.000      0.57      10.44      9.63
35.800      0.62      10.94      10.09
26.100      0.39      10.82      9.83
19.100      0.35      10.79      10.05
97.000      0.78      10.70      9.94
26.900      0.93      9.27       8.68
10.500      0.15      11.30      10.64
12.400      0.41      10.51      9.76
59.300      0.73      10.52      9.88
